"gene_id"	"trans_id"	"omega_Fice"	"dN_Fice"	"dS_Fice"
"ENSFALG00000004399"	"ENSFALT00000004608"	0.1271	0.0047	0.0373
"ENSFALG00000004406"	"ENSFALT00000004610"	1e-04	0	0.0045
"ENSFALG00000004405"	"ENSFALT00000004611"	0.1124	0.0026	0.0235
"ENSFALG00000004407"	"ENSFALT00000004612"	0.078	0.0049	0.0624
"ENSFALG00000004393"	"ENSFALT00000004613"	0.1822	0.0139	0.0763
"ENSFALG00000004409"	"ENSFALT00000004614"	0.0507	0.004	0.0788
"ENSFALG00000004412"	"ENSFALT00000004615"	0.1214	0.0215	0.1773
"ENSFALG00000004414"	"ENSFALT00000004616"	0.141	0.0092	0.0654
"ENSFALG00000004396"	"ENSFALT00000004618"	1e-04	0	0.1755
"ENSFALG00000004418"	"ENSFALT00000004619"	1e-04	0	0.0234
"ENSFALG00000004416"	"ENSFALT00000004620"	1e-04	0	0.1012
"ENSFALG00000004421"	"ENSFALT00000004621"	0.0448	0.0058	0.1289
"ENSFALG00000004422"	"ENSFALT00000004624"	0.0732	0.0152	0.2074
"ENSFALG00000004424"	"ENSFALT00000004625"	0.3183	0.0237	0.0744
"ENSFALG00000004411"	"ENSFALT00000004628"	1e-04	0	0.0326
"ENSFALG00000004432"	"ENSFALT00000004634"	0.306	0.0087	0.0285
"ENSFALG00000004435"	"ENSFALT00000004637"	0.9502	0.0451	0.0474
"ENSFALG00000004410"	"ENSFALT00000004639"	0.3037	0.0296	0.0973
"ENSFALG00000004437"	"ENSFALT00000004640"	1e-04	0	0.1158
"ENSFALG00000004438"	"ENSFALT00000004641"	0.1794	0.0213	0.1187
"ENSFALG00000004440"	"ENSFALT00000004642"	1e-04	0	0.0476
"ENSFALG00000004431"	"ENSFALT00000004643"	0.3854	0.0124	0.0322
"ENSFALG00000004441"	"ENSFALT00000004645"	0.0741	0.0064	0.086
"ENSFALG00000004439"	"ENSFALT00000004646"	0.5206	0.0325	0.0625
"ENSFALG00000004443"	"ENSFALT00000004647"	0.2316	0.0094	0.0406
"ENSFALG00000004434"	"ENSFALT00000004648"	0.1477	0.0086	0.0584
"ENSFALG00000004444"	"ENSFALT00000004649"	0.0093	2e-04	0.0245
"ENSFALG00000004445"	"ENSFALT00000004650"	0.0365	0.0021	0.0562
"ENSFALG00000004447"	"ENSFALT00000004651"	0.3465	0.0155	0.0447
"ENSFALG00000004449"	"ENSFALT00000004652"	0.1712	0.0155	0.0904
"ENSFALG00000004428"	"ENSFALT00000004653"	1e-04	0	0.0454
"ENSFALG00000004448"	"ENSFALT00000004654"	1e-04	0	0.0628
"ENSFALG00000004451"	"ENSFALT00000004655"	0.039	0.0035	0.0902
"ENSFALG00000004454"	"ENSFALT00000004657"	0.9741	0.0364	0.0374
"ENSFALG00000004452"	"ENSFALT00000004661"	0.1961	0.0338	0.1724
"ENSFALG00000004458"	"ENSFALT00000004662"	0.2773	0.0204	0.0736
"ENSFALG00000004461"	"ENSFALT00000004665"	1e-04	0	0.0283
"ENSFALG00000004462"	"ENSFALT00000004666"	0.1645	0.0061	0.0372
"ENSFALG00000004417"	"ENSFALT00000004667"	0.0245	0.0019	0.0788
"ENSFALG00000004464"	"ENSFALT00000004669"	0.028	0.0042	0.1498
"ENSFALG00000004469"	"ENSFALT00000004678"	0.0305	0.0022	0.0733
"ENSFALG00000004466"	"ENSFALT00000004681"	1e-04	0	0.0773
"ENSFALG00000004473"	"ENSFALT00000004683"	0.2821	0.0133	0.0471
"ENSFALG00000004472"	"ENSFALT00000004685"	0.2606	0.023	0.0883
"ENSFALG00000004475"	"ENSFALT00000004686"	0.0828	0.0032	0.0384
"ENSFALG00000004413"	"ENSFALT00000004688"	0.0778	0.0113	0.1455
"ENSFALG00000004476"	"ENSFALT00000004689"	0.2961	0.0033	0.0113
"ENSFALG00000004477"	"ENSFALT00000004690"	0.495	0.0299	0.0605
"ENSFALG00000004484"	"ENSFALT00000004691"	0.6049	0.06	0.0992
"ENSFALG00000004479"	"ENSFALT00000004692"	0.1136	0.0059	0.0515
"ENSFALG00000004486"	"ENSFALT00000004693"	0.2208	0.0116	0.0527
"ENSFALG00000004487"	"ENSFALT00000004694"	0.0259	0.0021	0.0813
"ENSFALG00000004481"	"ENSFALT00000004695"	0.122	0.0033	0.0273
"ENSFALG00000004480"	"ENSFALT00000004696"	1e-04	0	0.0252
"ENSFALG00000004482"	"ENSFALT00000004698"	0.0523	0.0056	0.1067
"ENSFALG00000004489"	"ENSFALT00000004699"	0.1899	0.0233	0.1228
"ENSFALG00000004491"	"ENSFALT00000004701"	0.1481	0.0432	0.2916
"ENSFALG00000004493"	"ENSFALT00000004702"	0.1897	0.031	0.1634
"ENSFALG00000004495"	"ENSFALT00000004703"	0.1082	0.0062	0.0574
"ENSFALG00000004492"	"ENSFALT00000004704"	0.0417	0.0024	0.0571
"ENSFALG00000004490"	"ENSFALT00000004705"	0.5343	0.0198	0.037
"ENSFALG00000004496"	"ENSFALT00000004706"	0.2571	0.018	0.0699
"ENSFALG00000004497"	"ENSFALT00000004707"	0.051	0.0013	0.0254
"ENSFALG00000004494"	"ENSFALT00000004708"	0.2391	0.034	0.1422
"ENSFALG00000004485"	"ENSFALT00000004709"	0.0352	0.0016	0.0466
"ENSFALG00000004503"	"ENSFALT00000004711"	1e-04	0	0.1113
"ENSFALG00000004501"	"ENSFALT00000004713"	0.6844	0.0242	0.0354
"ENSFALG00000004506"	"ENSFALT00000004715"	1e-04	0	0.1107
"ENSFALG00000004511"	"ENSFALT00000004718"	0.0559	0.0029	0.0527
"ENSFALG00000004512"	"ENSFALT00000004719"	0.0291	0.0051	0.1762
"ENSFALG00000004513"	"ENSFALT00000004720"	0.1185	0.0104	0.0881
"ENSFALG00000004507"	"ENSFALT00000004721"	1e-04	0	0.0475
"ENSFALG00000004515"	"ENSFALT00000004722"	0.3446	0.0197	0.0573
"ENSFALG00000004483"	"ENSFALT00000004723"	0.0331	0.0044	0.1336
"ENSFALG00000004516"	"ENSFALT00000004725"	0.4931	0.0199	0.0404
"ENSFALG00000004517"	"ENSFALT00000004726"	0.04	0.002	0.0497
"ENSFALG00000004518"	"ENSFALT00000004727"	0.0295	0.0035	0.1192
"ENSFALG00000004520"	"ENSFALT00000004728"	0.4253	0.0365	0.0858
"ENSFALG00000004502"	"ENSFALT00000004732"	0.0387	0.0025	0.0654
"ENSFALG00000004527"	"ENSFALT00000004734"	999	0.0053	0
"ENSFALG00000004524"	"ENSFALT00000004736"	0.0222	0.0027	0.1212
"ENSFALG00000004505"	"ENSFALT00000004738"	0.1223	0.0166	0.1354
"ENSFALG00000004521"	"ENSFALT00000004739"	0.1113	0.0067	0.0602
"ENSFALG00000004531"	"ENSFALT00000004742"	0.2776	0.0108	0.0388
"ENSFALG00000004533"	"ENSFALT00000004743"	0.1012	0.0103	0.102
"ENSFALG00000004535"	"ENSFALT00000004746"	0.0519	0.0023	0.0435
"ENSFALG00000004508"	"ENSFALT00000004747"	0.0294	0.0067	0.2276
"ENSFALG00000004537"	"ENSFALT00000004750"	0.0239	0.0027	0.115
"ENSFALG00000004540"	"ENSFALT00000004751"	0.0895	0.0165	0.184
"ENSFALG00000004529"	"ENSFALT00000004754"	0.0123	9e-04	0.0729
"ENSFALG00000004547"	"ENSFALT00000004759"	0.3779	0.0384	0.1017
"ENSFALG00000004543"	"ENSFALT00000004760"	0.0584	0.0201	0.3442
"ENSFALG00000004536"	"ENSFALT00000004761"	0.2215	0.0365	0.1646
"ENSFALG00000004554"	"ENSFALT00000004765"	999	0.0137	0
"ENSFALG00000004514"	"ENSFALT00000004768"	0.1219	0.0106	0.0866
"ENSFALG00000004560"	"ENSFALT00000004769"	492.2326	0.0049	0
"ENSFALG00000004557"	"ENSFALT00000004770"	0.0474	0.0058	0.1221
"ENSFALG00000004552"	"ENSFALT00000004771"	0.0615	0.0085	0.1378
"ENSFALG00000004551"	"ENSFALT00000004772"	0.1504	0.0233	0.1551
"ENSFALG00000004556"	"ENSFALT00000004775"	0.0324	0.0023	0.0714
"ENSFALG00000004539"	"ENSFALT00000004776"	0.2525	0.0209	0.0829
"ENSFALG00000004568"	"ENSFALT00000004777"	1e-04	0	0.0372
"ENSFALG00000004570"	"ENSFALT00000004778"	0.1298	0.014	0.1078
"ENSFALG00000004565"	"ENSFALT00000004779"	0.1595	0.0092	0.0579
"ENSFALG00000004567"	"ENSFALT00000004780"	1e-04	0	0.0415
"ENSFALG00000004569"	"ENSFALT00000004781"	0.678	0.1016	0.1499
"ENSFALG00000004572"	"ENSFALT00000004782"	0.2284	0.0088	0.0386
"ENSFALG00000004573"	"ENSFALT00000004783"	0.9526	0.0172	0.018
"ENSFALG00000004555"	"ENSFALT00000004784"	0.0195	0.0062	0.3206
"ENSFALG00000004566"	"ENSFALT00000004785"	0.009	0.001	0.1114
"ENSFALG00000004574"	"ENSFALT00000004786"	1e-04	0	0.0491
"ENSFALG00000004575"	"ENSFALT00000004787"	0.0322	0.004	0.123
"ENSFALG00000004576"	"ENSFALT00000004789"	1.1122	0.0614	0.0552
"ENSFALG00000004579"	"ENSFALT00000004790"	0.0735	0.0075	0.1027
"ENSFALG00000004578"	"ENSFALT00000004791"	0.3439	0.0617	0.1795
"ENSFALG00000004582"	"ENSFALT00000004792"	0.082	0.0059	0.0719
"ENSFALG00000004571"	"ENSFALT00000004793"	0.026	0.0032	0.1248
"ENSFALG00000004580"	"ENSFALT00000004795"	1e-04	0	0.0653
"ENSFALG00000004553"	"ENSFALT00000004797"	0.0481	0.0046	0.096
"ENSFALG00000004563"	"ENSFALT00000004798"	1e-04	0	0.1903
"ENSFALG00000004586"	"ENSFALT00000004800"	0.0587	0.004	0.0674
"ENSFALG00000004587"	"ENSFALT00000004801"	0.0345	0.002	0.059
"ENSFALG00000004589"	"ENSFALT00000004803"	0.0595	0.006	0.1011
"ENSFALG00000004590"	"ENSFALT00000004804"	0.338	0.0249	0.0736
"ENSFALG00000004588"	"ENSFALT00000004805"	0.1546	0.1411	0.9131
"ENSFALG00000004593"	"ENSFALT00000004806"	1e-04	0	0.0538
"ENSFALG00000004584"	"ENSFALT00000004807"	1e-04	0	0.0908
"ENSFALG00000004596"	"ENSFALT00000004808"	0.377	0.0257	0.0683
"ENSFALG00000004598"	"ENSFALT00000004809"	0.0637	0.0129	0.2024
"ENSFALG00000004564"	"ENSFALT00000004810"	0.0889	0.0311	0.3496
"ENSFALG00000004602"	"ENSFALT00000004814"	0.0174	0.0023	0.1328
"ENSFALG00000004603"	"ENSFALT00000004815"	0.0412	0.0033	0.0796
"ENSFALG00000004605"	"ENSFALT00000004816"	0.1584	0.0041	0.0259
"ENSFALG00000004604"	"ENSFALT00000004817"	0.3689	0.0742	0.2011
"ENSFALG00000004606"	"ENSFALT00000004819"	0.2612	0.0215	0.0821
"ENSFALG00000004607"	"ENSFALT00000004820"	0.0939	0.0067	0.0715
"ENSFALG00000004610"	"ENSFALT00000004821"	0.2726	0.0223	0.0818
"ENSFALG00000004591"	"ENSFALT00000004822"	0.0756	0.006	0.0794
"ENSFALG00000004609"	"ENSFALT00000004823"	0.0169	0.0048	0.2859
"ENSFALG00000004611"	"ENSFALT00000004824"	0.0115	0.0042	0.3698
"ENSFALG00000004613"	"ENSFALT00000004825"	0.1276	0.0036	0.0285
"ENSFALG00000004612"	"ENSFALT00000004826"	0.0773	0.0038	0.0497
"ENSFALG00000004599"	"ENSFALT00000004828"	0.0987	0.007	0.0714
"ENSFALG00000004615"	"ENSFALT00000004829"	0.0324	0.0054	0.1672
"ENSFALG00000004594"	"ENSFALT00000004830"	0.0172	0.0011	0.0623
"ENSFALG00000004620"	"ENSFALT00000004832"	0.1564	0.0158	0.1012
"ENSFALG00000004617"	"ENSFALT00000004833"	1e-04	0	0.1282
"ENSFALG00000004622"	"ENSFALT00000004834"	0.0092	0.001	0.1044
"ENSFALG00000004592"	"ENSFALT00000004835"	0.2913	0.0186	0.0639
"ENSFALG00000004608"	"ENSFALT00000004836"	0.0283	0.0141	0.4994
"ENSFALG00000004623"	"ENSFALT00000004837"	2.2102	0.023	0.0104
"ENSFALG00000004616"	"ENSFALT00000004839"	0.0861	0.0058	0.0668
"ENSFALG00000004619"	"ENSFALT00000004840"	0.1581	0.0272	0.1723
"ENSFALG00000004624"	"ENSFALT00000004841"	1e-04	0	0.0292
"ENSFALG00000004626"	"ENSFALT00000004842"	0.1511	0.0551	0.3645
"ENSFALG00000004630"	"ENSFALT00000004844"	0.0722	0.0017	0.0234
"ENSFALG00000004628"	"ENSFALT00000004846"	0.1234	0.0107	0.0869
"ENSFALG00000004632"	"ENSFALT00000004848"	0.3256	0.0243	0.0745
"ENSFALG00000004634"	"ENSFALT00000004849"	0.0433	0.0066	0.1517
"ENSFALG00000004635"	"ENSFALT00000004850"	0.2368	0.0044	0.0184
"ENSFALG00000004621"	"ENSFALT00000004851"	0.1688	0.0113	0.0669
"ENSFALG00000004638"	"ENSFALT00000004852"	1e-04	0	0.0317
"ENSFALG00000004637"	"ENSFALT00000004853"	0.0959	0.0049	0.051
"ENSFALG00000004641"	"ENSFALT00000004855"	0.1775	0.0089	0.05
"ENSFALG00000004633"	"ENSFALT00000004856"	0.1376	0.0294	0.2138
"ENSFALG00000004627"	"ENSFALT00000004857"	1e-04	0	0.0463
"ENSFALG00000004642"	"ENSFALT00000004859"	0.1011	0.0872	0.8627
"ENSFALG00000004644"	"ENSFALT00000004860"	0.0754	0.008	0.1066
"ENSFALG00000004645"	"ENSFALT00000004861"	0.0689	0.0049	0.0716
"ENSFALG00000004646"	"ENSFALT00000004862"	0.0248	0.0013	0.0535
"ENSFALG00000004649"	"ENSFALT00000004863"	1e-04	0	0.1074
"ENSFALG00000004652"	"ENSFALT00000004865"	0.3014	0.0241	0.0799
"ENSFALG00000004651"	"ENSFALT00000004867"	0.0839	0.0027	0.0318
"ENSFALG00000004639"	"ENSFALT00000004868"	0.7459	0.0246	0.033
"ENSFALG00000004654"	"ENSFALT00000004870"	0.3173	0.0201	0.0635
"ENSFALG00000004658"	"ENSFALT00000004873"	0.138	0.0134	0.0972
"ENSFALG00000004660"	"ENSFALT00000004874"	4.8413	0.0491	0.0101
"ENSFALG00000004662"	"ENSFALT00000004875"	0.1226	0.0084	0.0685
"ENSFALG00000004657"	"ENSFALT00000004877"	0.0519	0.0038	0.0733
"ENSFALG00000004665"	"ENSFALT00000004879"	1e-04	0	0.0559
"ENSFALG00000004667"	"ENSFALT00000004881"	1.8361	0	0
"ENSFALG00000004668"	"ENSFALT00000004883"	0.2195	0.0088	0.0399
"ENSFALG00000004670"	"ENSFALT00000004884"	1e-04	0	0.0436
"ENSFALG00000004672"	"ENSFALT00000004885"	0.0372	0.0018	0.048
"ENSFALG00000004656"	"ENSFALT00000004886"	0.0109	0.0019	0.1712
"ENSFALG00000004673"	"ENSFALT00000004887"	1.1938	0.0702	0.0588
"ENSFALG00000004674"	"ENSFALT00000004888"	0.3044	0.0216	0.0708
"ENSFALG00000004675"	"ENSFALT00000004889"	0.0601	0.0145	0.2414
"ENSFALG00000004659"	"ENSFALT00000004890"	0.1747	0.0193	0.1106
"ENSFALG00000004671"	"ENSFALT00000004891"	0.0955	0.0072	0.075
"ENSFALG00000004677"	"ENSFALT00000004892"	0.3789	0.0325	0.0857
"ENSFALG00000004650"	"ENSFALT00000004893"	0.1204	0.0117	0.0971
"ENSFALG00000004676"	"ENSFALT00000004895"	0.1508	0.0961	0.6369
"ENSFALG00000004681"	"ENSFALT00000004897"	0.044	0.0051	0.1156
"ENSFALG00000004680"	"ENSFALT00000004898"	0.2213	0.027	0.122
"ENSFALG00000004687"	"ENSFALT00000004902"	0.0806	0.0048	0.0596
"ENSFALG00000004688"	"ENSFALT00000004904"	0.1504	0.0112	0.0745
"ENSFALG00000004689"	"ENSFALT00000004906"	0.0359	0.0031	0.0871
"ENSFALG00000004684"	"ENSFALT00000004909"	0.102	0.0296	0.2901
"ENSFALG00000004695"	"ENSFALT00000004911"	0.0105	0.0027	0.2543
"ENSFALG00000004696"	"ENSFALT00000004912"	0.4116	0.036	0.0874
"ENSFALG00000004682"	"ENSFALT00000004913"	0.0663	0.0038	0.0573
"ENSFALG00000004699"	"ENSFALT00000004915"	0.05	0.0029	0.057
"ENSFALG00000004700"	"ENSFALT00000004916"	0.067	0.0028	0.0413
"ENSFALG00000004690"	"ENSFALT00000004919"	0.087	0.0156	0.1789
"ENSFALG00000004704"	"ENSFALT00000004921"	0.2786	0.0392	0.1406
"ENSFALG00000004702"	"ENSFALT00000004922"	0.0631	0.0025	0.039
"ENSFALG00000004708"	"ENSFALT00000004923"	0.0386	0.0083	0.2156
"ENSFALG00000004686"	"ENSFALT00000004925"	0.0842	0.0197	0.2335
"ENSFALG00000004706"	"ENSFALT00000004927"	0.129	0.0277	0.2145
"ENSFALG00000004705"	"ENSFALT00000004928"	1.5009	0.0506	0.0337
"ENSFALG00000004710"	"ENSFALT00000004929"	0.4579	0.03	0.0656
"ENSFALG00000004717"	"ENSFALT00000004931"	0.2552	0.0166	0.0652
"ENSFALG00000004715"	"ENSFALT00000004932"	0.4627	0.044	0.095
"ENSFALG00000004718"	"ENSFALT00000004934"	1e-04	0	0.0102
"ENSFALG00000004713"	"ENSFALT00000004936"	0.2012	0.0095	0.0471
"ENSFALG00000004720"	"ENSFALT00000004937"	0.4028	0.0156	0.0387
"ENSFALG00000004721"	"ENSFALT00000004938"	0.0518	0.0081	0.1562
"ENSFALG00000004722"	"ENSFALT00000004939"	0.6171	0.0401	0.0651
"ENSFALG00000004725"	"ENSFALT00000004940"	0.1055	0.0056	0.0527
"ENSFALG00000004728"	"ENSFALT00000004942"	0.052	0.0044	0.0839
"ENSFALG00000004726"	"ENSFALT00000004943"	0.1785	0.0145	0.0811
"ENSFALG00000004729"	"ENSFALT00000004944"	0.0511	0.003	0.0592
"ENSFALG00000004732"	"ENSFALT00000004945"	0.1268	0.0058	0.0456
"ENSFALG00000004724"	"ENSFALT00000004946"	0.1053	0.0706	0.6703
"ENSFALG00000004735"	"ENSFALT00000004948"	1e-04	0	0.0843
"ENSFALG00000004734"	"ENSFALT00000004950"	0.0842	0.003	0.0356
"ENSFALG00000004740"	"ENSFALT00000004952"	0.1245	0.0285	0.2291
"ENSFALG00000004742"	"ENSFALT00000004955"	0.2932	0.0348	0.1188
"ENSFALG00000004739"	"ENSFALT00000004956"	0.0901	0.0035	0.0389
"ENSFALG00000004727"	"ENSFALT00000004957"	0.0624	0.0064	0.1022
"ENSFALG00000004743"	"ENSFALT00000004958"	0.0621	0.0077	0.1245
"ENSFALG00000004723"	"ENSFALT00000004959"	0.2235	0.0716	0.3202
"ENSFALG00000004737"	"ENSFALT00000004962"	1e-04	0	0.0339
"ENSFALG00000004746"	"ENSFALT00000004963"	0.0155	0.0015	0.094
"ENSFALG00000004747"	"ENSFALT00000004964"	0.1598	0.0182	0.1136
"ENSFALG00000004749"	"ENSFALT00000004965"	0.0633	0.0064	0.1005
"ENSFALG00000004748"	"ENSFALT00000004966"	0.1377	0.0252	0.1831
"ENSFALG00000004736"	"ENSFALT00000004968"	0.0063	7e-04	0.1189
"ENSFALG00000004751"	"ENSFALT00000004969"	1e-04	0	0.1314
"ENSFALG00000004753"	"ENSFALT00000004970"	0.1421	0.0151	0.106
"ENSFALG00000004759"	"ENSFALT00000004972"	0.1012	0.0065	0.0643
"ENSFALG00000004754"	"ENSFALT00000004973"	0.067	0.0177	0.2643
"ENSFALG00000004757"	"ENSFALT00000004974"	1e-04	0	0.0955
"ENSFALG00000004755"	"ENSFALT00000004976"	0.1057	0.0076	0.0722
"ENSFALG00000004762"	"ENSFALT00000004977"	0.0775	0.0075	0.0968
"ENSFALG00000004756"	"ENSFALT00000004978"	1e-04	0	0.036
"ENSFALG00000004764"	"ENSFALT00000004980"	0.6665	0.0549	0.0824
"ENSFALG00000004766"	"ENSFALT00000004981"	0.0493	0.003	0.061
"ENSFALG00000004760"	"ENSFALT00000004982"	0.0762	0.0078	0.1028
"ENSFALG00000004767"	"ENSFALT00000004984"	1e-04	0	0.0246
"ENSFALG00000004763"	"ENSFALT00000004986"	0.2149	0.0718	0.334
"ENSFALG00000004770"	"ENSFALT00000004987"	0.1416	0.0127	0.0895
"ENSFALG00000004730"	"ENSFALT00000004988"	0.0544	0.0062	0.1132
"ENSFALG00000004772"	"ENSFALT00000004989"	0.8263	0.0516	0.0624
"ENSFALG00000004775"	"ENSFALT00000004991"	0.0183	0.0015	0.0843
"ENSFALG00000004761"	"ENSFALT00000004992"	0.4055	0.04	0.0987
"ENSFALG00000004778"	"ENSFALT00000004994"	0.1455	0.0218	0.1499
"ENSFALG00000004752"	"ENSFALT00000004995"	0.0459	0.0013	0.0274
"ENSFALG00000004750"	"ENSFALT00000004996"	0.0229	8e-04	0.0346
"ENSFALG00000004768"	"ENSFALT00000004997"	0.0576	0.0038	0.0652
"ENSFALG00000004771"	"ENSFALT00000004998"	0.3492	0.0531	0.1521
"ENSFALG00000004781"	"ENSFALT00000004999"	0.1081	0.0152	0.1408
"ENSFALG00000004776"	"ENSFALT00000005000"	0.0541	0.0035	0.0649
"ENSFALG00000004765"	"ENSFALT00000005001"	0.2785	0.009	0.0322
"ENSFALG00000004784"	"ENSFALT00000005004"	0.266	0.0585	0.2199
"ENSFALG00000004785"	"ENSFALT00000005006"	0.0219	0.0018	0.0805
"ENSFALG00000004787"	"ENSFALT00000005007"	0.1666	0.006	0.036
"ENSFALG00000004779"	"ENSFALT00000005008"	0.0759	0.0017	0.022
"ENSFALG00000004780"	"ENSFALT00000005009"	0.2353	0.1007	0.4282
"ENSFALG00000004789"	"ENSFALT00000005010"	0.0376	0.0012	0.031
"ENSFALG00000004788"	"ENSFALT00000005012"	0.1356	0.0403	0.2969
"ENSFALG00000004794"	"ENSFALT00000005013"	0.1419	0.0086	0.061
"ENSFALG00000004701"	"ENSFALT00000005014"	0.0105	9e-04	0.0812
"ENSFALG00000004796"	"ENSFALT00000005015"	0.5775	0.0099	0.0172
"ENSFALG00000004792"	"ENSFALT00000005016"	0.0298	0.0029	0.0971
"ENSFALG00000004795"	"ENSFALT00000005017"	0.5807	0.0477	0.0822
"ENSFALG00000004793"	"ENSFALT00000005018"	0.0862	0.0048	0.0554
"ENSFALG00000004798"	"ENSFALT00000005019"	0.1669	0.0277	0.166
"ENSFALG00000004799"	"ENSFALT00000005020"	0.2013	0.0247	0.1226
"ENSFALG00000004800"	"ENSFALT00000005022"	1e-04	0	0.0233
"ENSFALG00000004797"	"ENSFALT00000005023"	0.1345	0.0072	0.0531
"ENSFALG00000004802"	"ENSFALT00000005025"	0.0715	0.0047	0.0653
"ENSFALG00000004803"	"ENSFALT00000005026"	0.0667	0.0057	0.0848
"ENSFALG00000004805"	"ENSFALT00000005027"	0.051	0.0012	0.0243
"ENSFALG00000004806"	"ENSFALT00000005028"	0.0098	0.0024	0.2506
"ENSFALG00000004807"	"ENSFALT00000005029"	2.2701	0	0
"ENSFALG00000004791"	"ENSFALT00000005030"	0.3144	0.0281	0.0893
"ENSFALG00000004809"	"ENSFALT00000005031"	0.1589	0.0277	0.1743
"ENSFALG00000004808"	"ENSFALT00000005032"	1e-04	0	0.0794
"ENSFALG00000004812"	"ENSFALT00000005033"	0.0886	0.0128	0.1445
"ENSFALG00000004813"	"ENSFALT00000005034"	0.0575	0.0044	0.0768
"ENSFALG00000004810"	"ENSFALT00000005035"	0.0565	0.0096	0.17
"ENSFALG00000004817"	"ENSFALT00000005037"	1e-04	0	0.0314
"ENSFALG00000004815"	"ENSFALT00000005038"	0.0821	0.0134	0.1633
"ENSFALG00000004819"	"ENSFALT00000005039"	0.0279	0.0027	0.0973
"ENSFALG00000004821"	"ENSFALT00000005042"	0.5199	0.0374	0.072
"ENSFALG00000004824"	"ENSFALT00000005044"	0.2043	0.0183	0.0897
"ENSFALG00000004790"	"ENSFALT00000005045"	0.0169	9e-04	0.0519
"ENSFALG00000004811"	"ENSFALT00000005047"	0.2419	0.0243	0.1006
"ENSFALG00000004826"	"ENSFALT00000005049"	0.401	0.0231	0.0577
"ENSFALG00000004829"	"ENSFALT00000005050"	2.1505	0	0
"ENSFALG00000004827"	"ENSFALT00000005051"	0.2367	0.0195	0.0822
"ENSFALG00000004830"	"ENSFALT00000005052"	0.07	0.0069	0.0979
"ENSFALG00000004828"	"ENSFALT00000005053"	0.3288	0.0533	0.162
"ENSFALG00000004831"	"ENSFALT00000005054"	1e-04	0	0.1177
"ENSFALG00000004814"	"ENSFALT00000005055"	0.2658	0.0097	0.0364
"ENSFALG00000004801"	"ENSFALT00000005057"	0.1534	0.0271	0.177
"ENSFALG00000004833"	"ENSFALT00000005058"	0.0622	0.0074	0.1182
"ENSFALG00000004837"	"ENSFALT00000005060"	0.0091	6e-04	0.0691
"ENSFALG00000004832"	"ENSFALT00000005061"	0.0169	0.0036	0.2152
"ENSFALG00000004836"	"ENSFALT00000005062"	0.0633	0.0096	0.1522
"ENSFALG00000004839"	"ENSFALT00000005064"	0.1727	0.025	0.1446
"ENSFALG00000004818"	"ENSFALT00000005065"	0.0849	0.0084	0.0984
"ENSFALG00000004844"	"ENSFALT00000005069"	0.0339	0.0051	0.1501
"ENSFALG00000004843"	"ENSFALT00000005070"	0.8541	0.0118	0.0138
"ENSFALG00000004846"	"ENSFALT00000005071"	0.0292	0.0058	0.1994
"ENSFALG00000004849"	"ENSFALT00000005072"	1e-04	0	0.0872
"ENSFALG00000004840"	"ENSFALT00000005073"	0.1804	0.0188	0.104
"ENSFALG00000004852"	"ENSFALT00000005077"	0.0789	0.0108	0.1365
"ENSFALG00000004856"	"ENSFALT00000005078"	0.0446	0.0042	0.0933
"ENSFALG00000004857"	"ENSFALT00000005079"	0.0335	0.0026	0.0771
"ENSFALG00000004858"	"ENSFALT00000005080"	0.0227	0.0018	0.0809
"ENSFALG00000004859"	"ENSFALT00000005081"	0.879	0.0065	0.0074
"ENSFALG00000004860"	"ENSFALT00000005083"	0.1709	0.0117	0.0684
"ENSFALG00000004861"	"ENSFALT00000005084"	0.0664	0.0069	0.1036
"ENSFALG00000004854"	"ENSFALT00000005085"	0.2949	0.016	0.0543
"ENSFALG00000004862"	"ENSFALT00000005086"	0.0267	0.0012	0.0465
"ENSFALG00000004863"	"ENSFALT00000005087"	0.1083	0.0101	0.0935
"ENSFALG00000004865"	"ENSFALT00000005089"	0.0233	0.0011	0.0465
"ENSFALG00000004866"	"ENSFALT00000005090"	1e-04	0	0.0326
"ENSFALG00000004847"	"ENSFALT00000005091"	0.1063	0.0042	0.0397
"ENSFALG00000004868"	"ENSFALT00000005092"	1e-04	0	0.0704
"ENSFALG00000004848"	"ENSFALT00000005093"	0.0489	0.0024	0.0486
"ENSFALG00000004855"	"ENSFALT00000005094"	0.0795	0.0025	0.0311
"ENSFALG00000004875"	"ENSFALT00000005095"	1e-04	0	0.0235
"ENSFALG00000004881"	"ENSFALT00000005097"	0.1448	0.0064	0.0441
"ENSFALG00000004885"	"ENSFALT00000005098"	1e-04	0	0.0475
"ENSFALG00000004867"	"ENSFALT00000005099"	0.014	9e-04	0.0613
"ENSFALG00000004883"	"ENSFALT00000005100"	1e-04	0	0.0683
"ENSFALG00000004886"	"ENSFALT00000005102"	1e-04	0	0.1401
"ENSFALG00000004887"	"ENSFALT00000005103"	0.6325	0.1045	0.1652
"ENSFALG00000004872"	"ENSFALT00000005105"	0.4787	0.0242	0.0506
"ENSFALG00000004870"	"ENSFALT00000005106"	0.0871	0.0069	0.0791
"ENSFALG00000004889"	"ENSFALT00000005107"	0.1887	0.0173	0.0916
"ENSFALG00000004890"	"ENSFALT00000005110"	0.2928	0.0274	0.0934
