,X2,gene_name,V2
2162,ENSFALG00000002248,CASP7,CASP7
2163,ENSFALG00000002249,PHYHIPL,PHYHIPL
2164,ENSFALG00000002250,NRAP,NRAP
2165,ENSFALG00000002251,FAM13C,FAM13C
2166,ENSFALG00000002253,HABP2,HABP2
2167,ENSFALG00000002254,SLC16A9,SLC16A9
2168,ENSFALG00000002255,Tcf7l2,TCF7L2
2169,ENSFALG00000002256,CCDC6,CCDC6
2170,ENSFALG00000002257,RAPGEF4,RAPGEF4
2171,ENSFALG00000002258,VTI1A,VTI1A
2172,ENSFALG00000002258,VTI1A,VTI1A
2173,ENSFALG00000002259,ZDHHC6,ZDHHC6
2174,ENSFALG00000002260,ACSL5,ACSL5
2175,ENSFALG00000002261,TOM1L1,TOM1L1
2176,ENSFALG00000002262,COX11,COX11
2177,ENSFALG00000002263,STXBP4,STXBP4
2178,ENSFALG00000002264,KCNV1,KCNV1
2179,ENSFALG00000002265,HLF,HLF
2180,ENSFALG00000002266,MMD,MMD
2181,ENSFALG00000002266,Mmd,MMD
2182,ENSFALG00000002267,TECTB,TECTB
2183,ENSFALG00000002268,PCTP,PCTP
2184,ENSFALG00000002269,ANKFN1,ANKFN1
2185,ENSFALG00000002270,GPAM,GPAM
2186,ENSFALG00000002271,ANKFN1,ENSFALG00000002271
2187,ENSFALG00000002273,DGKE,DGKE
2188,ENSFALG00000002274,SHOC2,SHOC2
2189,ENSFALG00000002275,CSMD3,CSMD3
2190,ENSFALG00000002277,TRIM25,TRIM25
2191,ENSFALG00000002278,COIL,COIL
2192,ENSFALG00000002279,PDCD4,PDCD4
2193,ENSFALG00000002280,SCPEP1,SCPEP1
2194,ENSFALG00000002281,RAB11FIP4,RAB11FIP4
2195,ENSFALG00000002282,UTP6,UTP6
2196,ENSFALG00000002283,SUZ12,SUZ12
2197,ENSFALG00000002284,RBM20,RBM20
2198,ENSFALG00000002285,Crlf3,CRLF3
2199,ENSFALG00000002286,ATAD5,ATAD5
2200,ENSFALG00000002287,FNBP1L,FNBP1L
2201,ENSFALG00000002288,BCAR3,BCAR3
2202,ENSFALG00000002289,ADAP2,ADAP2
2203,ENSFALG00000002290,Rnf135,ENSFALG00000002290
2204,ENSFALG00000002291,DNTTIP2,DNTTIP2
2205,ENSFALG00000002291,GCLM,DNTTIP2
2206,ENSFALG00000002292,SMC3,SMC3
2207,ENSFALG00000002292,SMC3,SMC3
2208,ENSFALG00000002293,RHOT1,RHOT1
2209,ENSFALG00000002294,RHBDL3,RHBDL3
2210,ENSFALG00000002295,TECR,ENSFALG00000002295
2211,ENSFALG00000002296,TRPS1,TRPS1
2212,ENSFALG00000002297,Eif3h,EIF3H
2213,ENSFALG00000002298,Njmu,C17orf75
2214,ENSFALG00000002299,UTP23,UTP23
2215,ENSFALG00000002300,RAD21,RAD21
2216,ENSFALG00000002301,ZNF207,ZNF207
2217,ENSFALG00000002302,Dusp5,DUSP5
2218,ENSFALG00000002304,CPNE5,CPNE5
2219,ENSFALG00000002305,ERN1,ERN1
2220,ENSFALG00000002306,Smndc1,SMNDC1
2221,ENSFALG00000002307,SLC30A8,SLC30A8
2222,ENSFALG00000002308,MXI1,MXI1
2223,ENSFALG00000002309,TEX2,TEX2
2224,ENSFALG00000002310,ABCA4,ABCA4
2225,ENSFALG00000002311,PECAM1,PECAM1
2226,ENSFALG00000002312,MILR1,ENSFALG00000002312
2227,ENSFALG00000002313,POLG2,POLG2
2228,ENSFALG00000002314,MED30,MED30
2229,ENSFALG00000002315,ADD3,ADD3
2230,ENSFALG00000002315,ADD3,ADD3
2231,ENSFALG00000002316,EXT1,EXT1
2232,ENSFALG00000002317,Ddx5,DDX5
2233,ENSFALG00000002318,SAMD12,SAMD12
2234,ENSFALG00000002319,PPIL1,PPIL1
2235,ENSFALG00000002320,TNFRSF11B,TNFRSF11B
2236,ENSFALG00000002321,COLEC10,COLEC10
2237,ENSFALG00000002322,XPNPEP1,XPNPEP1
2238,ENSFALG00000002323,Itsn1,ITSN1
2239,ENSFALG00000002324,MAL2,MAL2
2240,ENSFALG00000002325,SORCS1,SORCS1
2241,ENSFALG00000002326,MAL,MAL
2242,ENSFALG00000002327,Mrps5,MRPS5
2243,ENSFALG00000002328,Nov,CCN3
2244,ENSFALG00000002329,Cep95,CEP95
2245,ENSFALG00000002330,SLC8A1,SLC8A1
2246,ENSFALG00000002331,CELSR2,CELSR2
2247,ENSFALG00000002332,Clu,CLU
2248,ENSFALG00000002333,Slc35f6,ENSFALG00000002333
2249,ENSFALG00000002334,GINS1,GINS1
2250,ENSFALG00000002335,Smurf2,SMURF2
2251,ENSFALG00000002336,NINL,ENSFALG00000002336
2252,ENSFALG00000002337,NINL,ENSFALG00000002337
2253,ENSFALG00000002338,ENPP2,ENPP2
2254,ENSFALG00000002340,ARHGAP29,ARHGAP29
2255,ENSFALG00000002341,RCC2,RCC2
2256,ENSFALG00000002342,ABCD3,ABCD3
2257,ENSFALG00000002343,EIF4A3,EIF4A3
2258,ENSFALG00000002344,F3,F3
2259,ENSFALG00000002345,ELAPOR1,SARS
2260,ENSFALG00000002346,CRYZL1,CRYZL1
2261,ENSFALG00000002347,KPNA2,KPNA2
2262,ENSFALG00000002348,Padi3,ENSFALG00000002348
2263,ENSFALG00000002349,C17orf58,ENSFALG00000002349
2264,ENSFALG00000002350,Cq058,C17orf58
2265,ENSFALG00000002351,SLC44A3,SLC44A3
2266,ENSFALG00000002353,BPTF,BPTF
2267,ENSFALG00000002354,ATL2,ATL2
2268,ENSFALG00000002355,HNRNPLL,HNRNPLL
2269,ENSFALG00000002356,TAF2,TAF2
2270,ENSFALG00000002357,Galm,GALM
2271,ENSFALG00000002358,Srsf7,ENSFALG00000002358
2272,ENSFALG00000002359,ELAPOR1,KIAA1324
2273,ENSFALG00000002360,NOL11,NOL11
2274,ENSFALG00000002361,GEMIN6,GEMIN6
2275,ENSFALG00000002362,GART,GART
2276,ENSFALG00000002363,Cnn3,CNN3
2277,ENSFALG00000002364,Srsf7,ENSFALG00000002364
2278,ENSFALG00000002365,SON,ENSFALG00000002365
2279,ENSFALG00000002365,Son,ENSFALG00000002365
2280,ENSFALG00000002365,Son,ENSFALG00000002365
2281,ENSFALG00000002367,DHX57,DHX57
2282,ENSFALG00000002368,PPP4R3A,PPP4R3A
2283,ENSFALG00000002369,CNN3,ALG14
2284,ENSFALG00000002370,Donson,DONSON
2285,ENSFALG00000002371,DSCC1,DSCC1
2286,ENSFALG00000002372,TLCD4,ENSFALG00000002372
2287,ENSFALG00000002373,TC2N,TC2N
2288,ENSFALG00000002374,Il1rapl1,IL1RAPL1
2289,ENSFALG00000002375,ARHGEF33,ARHGEF33
2290,ENSFALG00000002376,Hccs,HCCS
2291,ENSFALG00000002377,PITPNC1,ENSFALG00000002377
2292,ENSFALG00000002378,FBLN5,FBLN5
2293,ENSFALG00000002379,RWDD3,RWDD3
2294,ENSFALG00000002380,TRIP11,TRIP11
2295,ENSFALG00000002381,NR0B1,NR0B1
2296,ENSFALG00000002382,Tmem167b,TMEM167B
2297,ENSFALG00000002383,PTBP2,PTBP2
2298,ENSFALG00000002384,SOS1,SOS1
2299,ENSFALG00000002385,DEPTOR,DEPTOR
2300,ENSFALG00000002386,INAVA,INAVA
2301,ENSFALG00000002387,GK,ENSFALG00000002387
2302,ENSFALG00000002388,Atxn3,ENSFALG00000002388
2303,ENSFALG00000002389,DPYD,DPYD
2304,ENSFALG00000002390,MAP4K3,MAP4K3
2305,ENSFALG00000002391,Shisa4,SHISA4
2306,ENSFALG00000002392,SNX7,SNX7
2307,ENSFALG00000002393,PSMD12,PSMD12
2308,ENSFALG00000002394,TAB3,TAB3
2309,ENSFALG00000002395,PLPPR5,PLPPR5
2310,ENSFALG00000002396,Togaram2,ENSFALG00000002396
2311,ENSFALG00000002397,LMOD1,LMOD1
2312,ENSFALG00000002398,PLPPR4,PLPPR4
2313,ENSFALG00000002399,NDUFB1,NDUFB1
2314,ENSFALG00000002400,PALMD,PALMD
2315,ENSFALG00000002401,Timm17a,TIMM17A
2316,ENSFALG00000002402,FRRS1,FRRS1
2317,ENSFALG00000002403,AGL,AGL
2318,ENSFALG00000002404,Helz,HELZ
2319,ENSFALG00000002405,COL14A1,COL14A1
2320,ENSFALG00000002405,COL14A1,COL14A1
2321,ENSFALG00000002406,Adipor1,ADIPOR1
2322,ENSFALG00000002407,Frrs1,ENSFALG00000002407
2323,ENSFALG00000002409,CACNG1,CACNG1
2324,ENSFALG00000002410,DMD,DMD
2325,ENSFALG00000002411,Slc35a3,SLC35A3
2326,ENSFALG00000002412,CPSF2,CPSF2
2327,ENSFALG00000002412,CPSF2,CPSF2
2328,ENSFALG00000002413,MFSD14A,ENSFALG00000002413
2329,ENSFALG00000002414,CACNG4,CACNG4
2330,ENSFALG00000002415,CACNG5,CACNG5
2331,ENSFALG00000002416,TSPAN18,ENSFALG00000002416
2332,ENSFALG00000002417,SASS6,SASS6
2333,ENSFALG00000002418,PRKCA,PRKCA
2334,ENSFALG00000002419,APOH,APOH
2335,ENSFALG00000002420,UBE2T,UBE2T
2336,ENSFALG00000002421,CEP112,CEP112
2337,ENSFALG00000002422,MRPL13,MRPL13
2338,ENSFALG00000002423,AXIN2,AXIN2
2339,ENSFALG00000002424,TRMT13,TRMT13
2340,ENSFALG00000002425,Cry1,ENSFALG00000002425
2341,ENSFALG00000002426,MTBP,MTBP
2342,ENSFALG00000002427,Slc24a4,SLC24A4
2343,ENSFALG00000002428,SRCIN1,SRCIN1
2344,ENSFALG00000002429,LRRC39,LRRC39
2345,ENSFALG00000002431,SNTB1,SNTB1
2346,ENSFALG00000002433,HAS2,HAS2
2347,ENSFALG00000002434,LRIF1,LRIF1
2348,ENSFALG00000002435,DBT,DBT
2349,ENSFALG00000002436,RIN3,RIN3
2350,ENSFALG00000002437,RGS9,RGS9
2351,ENSFALG00000002438,LGMN,LGMN
2352,ENSFALG00000002439,DERL1,DERL1
2353,ENSFALG00000002440,GOLGA5,GOLGA5
2354,ENSFALG00000002441,DRAM2,DRAM2
2355,ENSFALG00000002442,CHGA,CHGA
2356,ENSFALG00000002443,RTCA,RTCA
2357,ENSFALG00000002444,VCAM1,VCAM1
2358,ENSFALG00000002445,ITPK1,ITPK1
2359,ENSFALG00000002446,TBC1D31,TBC1D31
2360,ENSFALG00000002447,CDC14A,CDC14A
2361,ENSFALG00000002448,CEPT1,CEPT1
2362,ENSFALG00000002449,EXTL2,EXTL2
2363,ENSFALG00000002450,FAM83A,FAM83A
2364,ENSFALG00000002451,LYSET,TMEM251
2365,ENSFALG00000002452,C2H8orf76,ENSFALG00000002452
2366,ENSFALG00000002453,Gna13,GNA13
2367,ENSFALG00000002454,ATAD2,ENSFALG00000002454
2368,ENSFALG00000002455,WDR45,ENSFALG00000002455
2369,ENSFALG00000002456,SLC30A7,SLC30A7
2370,ENSFALG00000002456,SLC30A7,SLC30A7
2371,ENSFALG00000002457,Mlo2,ENSFALG00000002457
2372,ENSFALG00000002458,SLC16A6,SLC16A6
2373,ENSFALG00000002459,AGPAT1,AGPAT1
2374,ENSFALG00000002460,DENND2D,DENND2D
2375,ENSFALG00000002461,NTAQ1,WDYHV1
2376,ENSFALG00000002462,Arsg,ARSG
2377,ENSFALG00000002463,FBXO32,FBXO32
2378,ENSFALG00000002464,MYBPH,MYBPH
2379,ENSFALG00000002464,MYBPH,MYBPH
2380,ENSFALG00000002465,BTBD7,BTBD7
2381,ENSFALG00000002466,DPH5,DPH5
2382,ENSFALG00000002467,S1PR1,ENSFALG00000002467
2383,ENSFALG00000002468,Unc79,UNC79
2384,ENSFALG00000002469,ADORA1,ADORA1
2385,ENSFALG00000002470,KLHL38,KLHL38
2386,ENSFALG00000002471,MYOG,MYOG
2387,ENSFALG00000002472,WIPI1,WIPI1
2388,ENSFALG00000002473,GAL2,ENSFALG00000002473
2389,ENSFALG00000002474,PPFIA4,PPFIA4
2390,ENSFALG00000002476,OLFM3,OLFM3
2391,ENSFALG00000002477,Gal7,ENSFALG00000002477
2392,ENSFALG00000002478,BD8,ENSFALG00000002478
2393,ENSFALG00000002479,Gal9,ENSFALG00000002479
2394,ENSFALG00000002480,ANXA13,ANXA13
2395,ENSFALG00000002481,GAL10,ENSFALG00000002481
2396,ENSFALG00000002482,Tmem183,TMEM183A
2397,ENSFALG00000002483,Gal11,ENSFALG00000002483
2398,ENSFALG00000002484,PRIMA1,PRIMA1
2399,ENSFALG00000002485,Gal12,ENSFALG00000002485
2400,ENSFALG00000002486,Fam181a,FAM181A
2401,ENSFALG00000002487,ASB2,ASB2
2402,ENSFALG00000002488,FAM91A1,FAM91A1
2403,ENSFALG00000002489,Mgat4c,ENSFALG00000002489
2404,ENSFALG00000002490,Gal13,ENSFALG00000002490
2405,ENSFALG00000002491,DDX24,DDX24
2406,ENSFALG00000002492,PRKAR1A,PRKAR1A
2407,ENSFALG00000002493,TMEM9,TMEM9
2408,ENSFALG00000002494,Ctsb,CTSB
2409,ENSFALG00000002495,Igfn1,ENSFALG00000002495
2410,ENSFALG00000002496,PPP4R4,PPP4R4
2411,ENSFALG00000002497,COL12A1,COL12A1
2412,ENSFALG00000002498,IGFN1,ENSFALG00000002498
2413,ENSFALG00000002499,FER1L6,FER1L6
2414,ENSFALG00000002500,FAM20A,FAM20A
2415,ENSFALG00000002501,PKP1,PKP1
2416,ENSFALG00000002502,SERPINA10,SERPINA10
2417,ENSFALG00000002503,A1AT2,ENSFALG00000002503
2418,ENSFALG00000002504,SERPINA1,ENSFALG00000002504
2419,ENSFALG00000002505,Serpina1,ENSFALG00000002505
2420,ENSFALG00000002506,Serpina3,ENSFALG00000002506
2421,ENSFALG00000002507,FDFT1,FDFT1
2422,ENSFALG00000002507,FDFT1,FDFT1
2423,ENSFALG00000002508,SERPINA3,ENSFALG00000002508
2424,ENSFALG00000002509,A1af,ENSFALG00000002509
2425,ENSFALG00000002510,Gsc,GSC
2426,ENSFALG00000002511,COL11A1,COL11A1
2427,ENSFALG00000002512,Abca10,ENSFALG00000002512
2428,ENSFALG00000002513,NEIL2,NEIL2
2429,ENSFALG00000002514,Tnnt2,TNNT2
2430,ENSFALG00000002514,TNNT2,TNNT2
2431,ENSFALG00000002515,TMEM231,TMEM231
2432,ENSFALG00000002516,DICER1,DICER1
2433,ENSFALG00000002517,GATA4,GATA4
2434,ENSFALG00000002518,GABARAPL2,GABARAPL2
2435,ENSFALG00000002519,Cox7a2,COX7A2
2436,ENSFALG00000002519,Cox7a2,COX7A2
2437,ENSFALG00000002520,TMEM65,TMEM65
2438,ENSFALG00000002521,ABCA10,ENSFALG00000002521
2439,ENSFALG00000002523,TATDN1,TATDN1
2440,ENSFALG00000002524,ADAT1,ADAT1
2441,ENSFALG00000002525,Tmem30a,TMEM30A
2442,ENSFALG00000002526,LAD1,LAD1
2443,ENSFALG00000002526,LAD1,LAD1
2444,ENSFALG00000002527,NDUFB9,NDUFB9
2445,ENSFALG00000002528,TNNI1,TNNI1
2446,ENSFALG00000002529,ABCA5,ABCA5
2447,ENSFALG00000002530,FILIP1,FILIP1
2448,ENSFALG00000002531,CLMN,CLMN
2449,ENSFALG00000002531,CLMN,CLMN
2450,ENSFALG00000002532,MTSS1,MTSS1
2451,ENSFALG00000002533,SQLE,SQLE
2452,ENSFALG00000002534,Glrx5,GLRX5
2453,ENSFALG00000002535,BLK,BLK
2454,ENSFALG00000002536,WASHC5,WASHC5
2455,ENSFALG00000002537,ATG2B,ATG2B
2456,ENSFALG00000002538,SENP6,SENP6
2457,ENSFALG00000002539,NSMCE2,NSMCE2
2458,ENSFALG00000002540,TRIB1,TRIB1
2459,ENSFALG00000002541,GSKIP,GSKIP
2460,ENSFALG00000002542,CSRP1,CSRP1
2461,ENSFALG00000002543,KARS1,KARS
2462,ENSFALG00000002544,AK7,ENSFALG00000002544
2463,ENSFALG00000002546,Myc,MYC
2464,ENSFALG00000002547,PAPOLA,PAPOLA
2465,ENSFALG00000002548,PPP1R12B,ENSFALG00000002548
2466,ENSFALG00000002549,EVI5L,EVI5L
2467,ENSFALG00000002550,CCT3,CCT3
2468,ENSFALG00000002550,CCT3,CCT3
2469,ENSFALG00000002551,PPP1R12B,ENSFALG00000002551
2470,ENSFALG00000002552,VRK1,VRK1
2471,ENSFALG00000002553,ZNF608,ZNF608
2472,ENSFALG00000002554,Map2k6,MAP2K6
2473,ENSFALG00000002555,SSR2,SSR2
2474,ENSFALG00000002556,GRAMD2B,GRAMD2B
2475,ENSFALG00000002557,SYT2,SYT2
2476,ENSFALG00000002558,NAV1,NAV1
2477,ENSFALG00000002559,CYRIB,FAM49B
2478,ENSFALG00000002559,CYRIB,FAM49B
2479,ENSFALG00000002560,Smg5,ENSFALG00000002560
2480,ENSFALG00000002561,BGLAP,BGLAP
2481,ENSFALG00000002562,FAM167A,FAM167A
2482,ENSFALG00000002563,BCL11B,BCL11B
2483,ENSFALG00000002564,Tdh,ENSFALG00000002564
2484,ENSFALG00000002565,PMF1,PMF1
2485,ENSFALG00000002566,Aldh7a1,ALDH7A1
2486,ENSFALG00000002567,TERF2IP,TERF2IP
2487,ENSFALG00000002568,SLC25A44,SLC25A44
2488,ENSFALG00000002569,Rnpep,RNPEP
2489,ENSFALG00000002570,SETD3,SETD3
2490,ENSFALG00000002571,ASAP1,ASAP1
2491,ENSFALG00000002572,SOX9,SOX9
2492,ENSFALG00000002573,SEMA4A,SEMA4A
2493,ENSFALG00000002574,ADCY8,ADCY8
2494,ENSFALG00000002575,TGM4,TGM4
2495,ENSFALG00000002577,TAT,TAT
2496,ENSFALG00000002578,MTMR9,MTMR9
2497,ENSFALG00000002579,EFR3A,EFR3A
2498,ENSFALG00000002580,RNPC3,RNPC3
2499,ENSFALG00000002580,Rnpc3,RNPC3
2500,ENSFALG00000002581,MYO6,MYO6
2501,ENSFALG00000002581,MYO6,MYO6
2502,ENSFALG00000002582,CCNK,CCNK
2503,ENSFALG00000002583,Amyp,ENSFALG00000002583
2504,ENSFALG00000002584,SKA1,ENSFALG00000002584
2505,ENSFALG00000002585,NTNG1,NTNG1
2506,ENSFALG00000002585,NTNG1,NTNG1
2507,ENSFALG00000002586,LMNA,LMNA
2508,ENSFALG00000002587,Fem1c,FEM1C
2509,ENSFALG00000002588,Dusp16,DUSP16
2510,ENSFALG00000002589,OC90,ENSFALG00000002589
2511,ENSFALG00000002591,PHLPP2,PHLPP2
2512,ENSFALG00000002592,PGGT1B,CCDC112
2513,ENSFALG00000002593,CCDC85C,ENSFALG00000002593
2514,ENSFALG00000002594,RAB25,ENSFALG00000002594
2515,ENSFALG00000002595,ZDHHC3,ZDHHC3
2516,ENSFALG00000002596,BORCS5,BORCS5
2517,ENSFALG00000002597,RAB25,RAB25
2518,ENSFALG00000002598,Hhla1,ENSFALG00000002598
2519,ENSFALG00000002599,LZTR1,LZTR1
2520,ENSFALG00000002600,EXOSC7,EXOSC7
2521,ENSFALG00000002601,AP1G1,AP1G1
2522,ENSFALG00000002602,MANSC1,MANSC1
2523,ENSFALG00000002603,HHIPL1,HHIPL1
2524,ENSFALG00000002604,Lamtor2,LAMTOR2
2525,ENSFALG00000002605,PGGT1B,PGGT1B
2526,ENSFALG00000002606,Kcnq3,KCNQ3
2527,ENSFALG00000002607,Lrp6,LRP6
2528,ENSFALG00000002608,CLEC3B,CLEC3B
2529,ENSFALG00000002609,UBQLN4,UBQLN4
2530,ENSFALG00000002610,IPO9,IPO9
2531,ENSFALG00000002611,CYP46A1,CYP46A1
2532,ENSFALG00000002612,ZNF821,ZNF821
2533,ENSFALG00000002613,CDCP1,CDCP1
2534,ENSFALG00000002614,TRIM36,TRIM36
2535,ENSFALG00000002615,DNAAF11,LRRC6
2536,ENSFALG00000002616,ETV6,ETV6
2537,ENSFALG00000002618,LARS2,LARS2
2538,ENSFALG00000002619,KCNN2,KCNN2
2539,ENSFALG00000002620,VAV3,VAV3
2540,ENSFALG00000002620,VAV3,VAV3
2541,ENSFALG00000002621,Gpatch4,ENSFALG00000002621
2542,ENSFALG00000002622,KDM5B,KDM5B
2543,ENSFALG00000002623,YTHDC2,ENSFALG00000002623
2544,ENSFALG00000002624,IST1,IST1
2545,ENSFALG00000002625,APOA1BP,NAXE
2546,ENSFALG00000002626,OTOF,OTOF
2547,ENSFALG00000002627,LIMD1,LIMD1
2548,ENSFALG00000002628,PYROXD1,PYROXD1
2549,ENSFALG00000002629,Tuba1c,ENSFALG00000002629
2550,ENSFALG00000002630,Mroh9,ENSFALG00000002630
2551,ENSFALG00000002631,TMEM71,TMEM71
2552,ENSFALG00000002632,EML1,EML1
2553,ENSFALG00000002633,IMPG1,IMPG1
2554,ENSFALG00000002634,KLHL12,KLHL12
2555,ENSFALG00000002635,RECQL,RECQL
2556,ENSFALG00000002636,Ttc24,ENSFALG00000002636
2557,ENSFALG00000002639,GOLT1B,GOLT1B
2558,ENSFALG00000002640,SACM1L,SACM1L
2559,ENSFALG00000002641,PHF20L1,PHF20L1
2560,ENSFALG00000002642,IQGAP3,IQGAP3
2561,ENSFALG00000002643,BCAT1,BCAT1
2562,ENSFALG00000002644,MEI4,MEI4
2563,ENSFALG00000002645,DHODH,ENSFALG00000002645
2564,ENSFALG00000002646,SNRPD1,SNRPD1
2565,ENSFALG00000002647,SOX5,SOX5
2566,ENSFALG00000002648,LGR6,LGR6
2567,ENSFALG00000002649,Irak1bp1,IRAK1BP1
2568,ENSFALG00000002650,SLC6A20,SLC6A20
2569,ENSFALG00000002651,ETNK1,ETNK1
2570,ENSFALG00000002652,PHIP,PHIP
2571,ENSFALG00000002653,C2CD5,C2CD5
2572,ENSFALG00000002654,LZTFL1,LZTFL1
2573,ENSFALG00000002655,GADD45B,GADD45B
2574,ENSFALG00000002656,Hmgn3,HMGN3
2575,ENSFALG00000002657,LCA5,LCA5
2576,ENSFALG00000002658,EVL,EVL
2577,ENSFALG00000002659,Enp1,MAP1S
2578,ENSFALG00000002660,SLC25A24,SLC25A24
2579,ENSFALG00000002661,St8sia1,ST8SIA1
2580,ENSFALG00000002662,AVL9,AVL9
2581,ENSFALG00000002663,SH3BGRL2,SH3BGRL2
2582,ENSFALG00000002664,EEIG2,FAM102B
2583,ENSFALG00000002665,ELOVL4,ELOVL4
2584,ENSFALG00000002667,KBTBD2,KBTBD2
2585,ENSFALG00000002668,HENMT1,HENMT1
2586,ENSFALG00000002669,TTK,TTK
2587,ENSFALG00000002671,Dhx38,DHX38
2588,ENSFALG00000002673,PRPF38B,ENSFALG00000002673
2589,ENSFALG00000002674,RP9,ENSFALG00000002674
2590,ENSFALG00000002675,DEGS2,DEGS2
2591,ENSFALG00000002676,NR0B2,ENSFALG00000002676
2592,ENSFALG00000002677,FNDC7,FNDC7
2593,ENSFALG00000002678,FKBP9,FKBP9
2594,ENSFALG00000002679,BCKDHB,BCKDHB
2595,ENSFALG00000002680,TG,TG
2596,ENSFALG00000002681,STXBP3,STXBP3
2597,ENSFALG00000002682,TENT5A,TENT5A
2598,ENSFALG00000002683,YY1,YY1
2599,ENSFALG00000002683,YY1,YY1
2600,ENSFALG00000002684,NT5C3A,NT5C3A
2601,ENSFALG00000002685,IBTK,IBTK
2602,ENSFALG00000002686,AKNAD1,ENSFALG00000002686
2603,ENSFALG00000002686,AKNAD1,ENSFALG00000002686
2604,ENSFALG00000002687,GPSM2,GPSM2
2605,ENSFALG00000002688,TPBG,TPBG
2606,ENSFALG00000002689,SLC25A29,SLC25A29
2607,ENSFALG00000002690,UBE3D,UBE3D
2608,ENSFALG00000002691,CLCC1,CLCC1
2609,ENSFALG00000002692,WDR47,WDR47
2610,ENSFALG00000002693,SLC25A47,SLC25A47
2611,ENSFALG00000002694,DOP1A,DOP1A
2612,ENSFALG00000002695,PTPN7,PTPN7
2613,ENSFALG00000002696,WARS1,WARS
2614,ENSFALG00000002697,CAMSAP2,CAMSAP2
2615,ENSFALG00000002698,BBS9,BBS9
2616,ENSFALG00000002700,Arl8a,ARL8A
2617,ENSFALG00000002701,PGM3,PGM3
2618,ENSFALG00000002702,Wdr25,WDR25
2619,ENSFALG00000002702,Wdr25,WDR25
2620,ENSFALG00000002703,DDX59,DDX59
2621,ENSFALG00000002704,RWDD2A,RWDD2A
2622,ENSFALG00000002705,BEGAIN,BEGAIN
2623,ENSFALG00000002706,Zfhx3,ZFHX3
2624,ENSFALG00000002707,DLK1,DLK1
2625,ENSFALG00000002708,KIF14,KIF14
2626,ENSFALG00000002709,PPP2R5C,PPP2R5C
2627,ENSFALG00000002711,GPR37L1,GPR37L1
2628,ENSFALG00000002712,Bmper,BMPER
2629,ENSFALG00000002713,DYNC1H1,DYNC1H1
2630,ENSFALG00000002714,ELF3,ELF3
2631,ENSFALG00000002715,SLA,SLA
2632,ENSFALG00000002716,NR5A2,NR5A2
2633,ENSFALG00000002717,ME1,ME1
2634,ENSFALG00000002717,ME1,ME1
2635,ENSFALG00000002718,CCN4,CCN4
2636,ENSFALG00000002719,WWP2,WWP2
2637,ENSFALG00000002720,NPSR1,NPSR1
2638,ENSFALG00000002721,KIF21B,KIF21B
2639,ENSFALG00000002722,HSP90AA1,HSP90AA1
2640,ENSFALG00000002723,NDRG1,NDRG1
2641,ENSFALG00000002724,DPY19L1,ENSFALG00000002724
2642,ENSFALG00000002725,PTPRC,PTPRC
2643,ENSFALG00000002725,PTPRC,PTPRC
2644,ENSFALG00000002726,ENSA,ENSA
2645,ENSFALG00000002727,Tbx20,TBX20
2646,ENSFALG00000002728,RNF40,ENSFALG00000002728
2647,ENSFALG00000002729,GOLPH3L,GOLPH3L
2648,ENSFALG00000002730,Sp2,SP2
2649,ENSFALG00000002731,HERPUD2,HERPUD2
2650,ENSFALG00000002732,HORMAD1,HORMAD1
2651,ENSFALG00000002733,SNAP91,SNAP91
2652,ENSFALG00000002734,SCRN2,SCRN2
2653,ENSFALG00000002735,ST3GAL1,ST3GAL1
2654,ENSFALG00000002736,ATP6V1G3,ATP6V1G3
2655,ENSFALG00000002737,LRRC46,ENSFALG00000002737
2656,ENSFALG00000002738,Mrpl10,ENSFALG00000002738
2657,ENSFALG00000002739,PSMD7,PSMD7
2658,ENSFALG00000002740,WDR20,WDR20
2659,ENSFALG00000002741,KHDC4,KHDC4
2660,ENSFALG00000002742,Ripply2,RIPPLY2
2661,ENSFALG00000002743,SLC39A14,SLC39A14
2662,ENSFALG00000002744,ZFAT,ZFAT
2663,ENSFALG00000002745,NEK7,NEK7
2664,ENSFALG00000002746,ZNF839,ZNF839
2665,ENSFALG00000002747,NOB1,NOB1
2666,ENSFALG00000002748,Cacna1s,CACNA1S
2667,ENSFALG00000002749,Sf1,ENSFALG00000002749
2668,ENSFALG00000002750,SEPTIN7,SEPTIN7
2669,ENSFALG00000002750,SEPTIN7,SEPTIN7
2670,ENSFALG00000002751,CYB5R4,CYB5R4
2671,ENSFALG00000002752,KHDRBS3,KHDRBS3
2672,ENSFALG00000002753,CINP,CINP
2673,ENSFALG00000002754,NFAT5,NFAT5
2674,ENSFALG00000002755,RIT1,RIT1
2675,ENSFALG00000002756,TECPR2,TECPR2
2676,ENSFALG00000002757,CYB5B,CYB5B
2677,ENSFALG00000002757,Cyb5b,CYB5B
2678,ENSFALG00000002758,FAM135B,FAM135B
2679,ENSFALG00000002759,SYT11,SYT11
2680,ENSFALG00000002760,RCOR1,RCOR1
2681,ENSFALG00000002761,NIP7,NIP7
2682,ENSFALG00000002762,LYZ,ENSFALG00000002762
2683,ENSFALG00000002763,LHX9,LHX9
2684,ENSFALG00000002763,Lhx9,LHX9
2685,ENSFALG00000002764,MRAP2,MRAP2
2686,ENSFALG00000002765,Pcdhgb5,ENSFALG00000002765
2687,ENSFALG00000002766,PRR5,ENSFALG00000002766
2688,ENSFALG00000002767,CEP162,CEP162
